# Calibrated actuator disk source
# Turbine ID:                : backTurbine
# Thrust method:             : interpolatedFromTable
# Monitor reading method:    : actuatorDisk
# Rotation applied:          : 0.0000000000e+00
# Load distribution:         : NRELdistribution
#                 
# Time            # Uref            # Ctref           # Cpref           # Thr_Calc        # Thr_Applied     # errorT (%)      #                 
78                6.805e+00		7.978e-01	5.622e-01	2.307e+05		2.277e+05	-1.309e+00	
79                6.797e+00		7.981e-01	5.619e-01	2.303e+05		2.273e+05	-1.309e+00	
80                6.790e+00		7.984e-01	5.616e-01	2.299e+05		2.269e+05	-1.309e+00	
81                6.783e+00		7.987e-01	5.613e-01	2.295e+05		2.265e+05	-1.309e+00	
82                6.776e+00		7.989e-01	5.611e-01	2.291e+05		2.261e+05	-1.309e+00	
83                6.770e+00		7.992e-01	5.608e-01	2.287e+05		2.258e+05	-1.309e+00	
84                6.764e+00		7.994e-01	5.606e-01	2.284e+05		2.255e+05	-1.309e+00	
85                6.758e+00		7.997e-01	5.603e-01	2.281e+05		2.251e+05	-1.309e+00	
86                6.753e+00		7.999e-01	5.601e-01	2.278e+05		2.248e+05	-1.309e+00	
87                6.748e+00		8.001e-01	5.599e-01	2.275e+05		2.245e+05	-1.309e+00	
88                6.743e+00		8.003e-01	5.597e-01	2.272e+05		2.243e+05	-1.309e+00	
89                6.738e+00		8.005e-01	5.595e-01	2.269e+05		2.240e+05	-1.309e+00	
90                6.733e+00		8.007e-01	5.593e-01	2.267e+05		2.237e+05	-1.309e+00	
91                6.729e+00		8.008e-01	5.592e-01	2.264e+05		2.235e+05	-1.309e+00	
92                6.725e+00		8.010e-01	5.590e-01	2.262e+05		2.233e+05	-1.309e+00	
93                6.721e+00		8.012e-01	5.588e-01	2.260e+05		2.231e+05	-1.309e+00	
94                6.717e+00		8.013e-01	5.587e-01	2.258e+05		2.228e+05	-1.309e+00	
95                6.713e+00		8.015e-01	5.585e-01	2.256e+05		2.226e+05	-1.309e+00	
96                6.710e+00		8.016e-01	5.584e-01	2.254e+05		2.225e+05	-1.309e+00	
97                6.707e+00		8.017e-01	5.583e-01	2.252e+05		2.223e+05	-1.309e+00	
98                6.703e+00		8.019e-01	5.581e-01	2.250e+05		2.221e+05	-1.309e+00	
99                6.700e+00		8.020e-01	5.580e-01	2.248e+05		2.219e+05	-1.309e+00	
100               6.698e+00		8.021e-01	5.579e-01	2.247e+05		2.218e+05	-1.309e+00	
101               6.695e+00		8.022e-01	5.578e-01	2.245e+05		2.216e+05	-1.309e+00	
102               6.692e+00		8.023e-01	5.577e-01	2.244e+05		2.215e+05	-1.309e+00	
103               6.690e+00		8.024e-01	5.576e-01	2.242e+05		2.213e+05	-1.309e+00	
104               6.687e+00		8.025e-01	5.575e-01	2.241e+05		2.212e+05	-1.309e+00	
105               6.685e+00		8.026e-01	5.574e-01	2.240e+05		2.211e+05	-1.309e+00	
