Points_0,Points_1,Points_2,TI,U_0,U_1,U_2,U_Magnitude,k,p
226.8,-1008,90.314,0.0800306,8.01915,-0.00222357,0.00113921,8.01915,0.614871,0.000613735
239.4,-1008,90.314,0.080029,8.01938,-0.00217347,0.00112069,8.01938,0.614845,-0.00123458
252,-1008,90.314,0.0800273,8.0196,-0.00212213,0.0011017,8.0196,0.61482,-0.00302474
264.6,-1008,90.314,0.0800256,8.01981,-0.0020697,0.00108221,8.01981,0.614794,-0.00475574
277.2,-1008,90.314,0.0800239,8.02002,-0.0020163,0.00106226,8.02002,0.614768,-0.00642665
289.8,-1008,90.314,0.0800222,8.02022,-0.00196209,0.00104189,8.02022,0.614742,-0.00803704
302.4,-1008,90.314,0.0800205,8.02041,-0.00190717,0.00102113,8.02041,0.614715,-0.00958648
315,-1008,90.314,0.0800188,8.02059,-0.0018517,0.00100005,8.02059,0.614689,-0.0110747
327.6,-1008,90.314,0.080017,8.02077,-0.00179579,0.000978662,8.02077,0.614662,-0.0125018
340.2,-1008,90.314,0.0800153,8.02094,-0.00173959,0.000957034,8.02094,0.614635,-0.0138676
352.8,-1008,90.314,0.0800135,8.0211,-0.00168322,0.000935195,8.0211,0.614608,-0.0151726
365.4,-1008,90.314,0.0800118,8.02125,-0.00162684,0.000913181,8.02125,0.614581,-0.0164171
378,-1008,90.314,0.08001,8.0214,-0.00157052,0.000891048,8.0214,0.614553,-0.0176016
390.6,-1008,90.314,0.0800082,8.02154,-0.00151442,0.000868797,8.02154,0.614526,-0.0187269
403.2,-1008,90.314,0.0800064,8.02168,-0.00145863,0.000846505,8.02168,0.614498,-0.0197937
415.8,-1008,90.314,0.0800046,8.02181,-0.00140322,0.00082417,8.02181,0.61447,-0.020803
428.4,-1008,90.314,0.0800028,8.02193,-0.00134832,0.000801825,8.02193,0.614443,-0.0217555
441,-1008,90.314,0.080001,8.02204,-0.00129402,0.000779505,8.02204,0.614415,-0.0226522
453.6,-1008,90.314,0.0799991,8.02215,-0.00124032,0.000757181,8.02215,0.614387,-0.0234941
